iter	Passed	Remaining
0	82	82407
1	123	61483
2	158	52587
3	190	47356
4	220	43841
5	251	41628
6	289	41022
7	323	40099
8	366	40386
9	403	39955
10	438	39424
11	471	38832
12	503	38192
13	533	37584
14	568	37336
15	617	37962
16	675	39057
17	720	39322
18	775	40036
19	816	40025
20	848	39542
21	883	39271
22	923	39235
23	959	39021
24	994	38786
25	1029	38583
26	1062	38285
27	1094	38010
28	1129	37823
29	1177	38076
30	1214	37978
31	1245	37680
32	1276	37403
33	1316	37409
34	1347	37165
35	1379	36951
36	1410	36722
37	1442	36511
38	1471	36251
39	1501	36047
40	1532	35857
41	1564	35692
42	1598	35570
43	1629	35407
44	1659	35224
45	1691	35079
46	1721	34912
47	1757	34850
48	1794	34822
49	1852	35205
50	1898	35318
51	1950	35557
52	1988	35532
53	2032	35603
54	2063	35447
55	2095	35316
56	2130	35238
57	2164	35155
58	2200	35092
59	2235	35018
60	2266	34894
61	2309	34935
62	2349	34946
63	2392	34997
64	2435	35027
65	2471	34973
66	2504	34874
67	2536	34762
68	2569	34670
69	2602	34572
70	2631	34436
71	2664	34336
72	2695	34234
73	2727	34130
74	2763	34078
75	2798	34019
76	2839	34032
77	2884	34093
78	2930	34160
79	2968	34134
80	3003	34079
81	3037	34004
82	3069	33917
83	3105	33869
84	3141	33816
85	3176	33763
86	3211	33706
87	3245	33634
88	3278	33555
89	3310	33473
90	3342	33383
91	3378	33345
92	3412	33282
93	3450	33255
94	3485	33206
95	3520	33149
96	3552	33071
97	3584	32990
98	3618	32928
99	3649	32849
100	3681	32770
101	3718	32735
102	3750	32659
103	3782	32584
104	3813	32507
105	3845	32431
106	3878	32370
107	3916	32350
108	3948	32273
109	3979	32195
110	4008	32106
111	4039	32027
112	4072	31967
113	4105	31904
114	4138	31847
115	4169	31773
116	4201	31707
117	4231	31626
118	4261	31551
119	4291	31474
120	4322	31402
121	4353	31330
122	4385	31270
123	4424	31258
124	4456	31192
125	4486	31121
126	4517	31056
127	4550	31003
128	4582	30939
129	4613	30874
130	4647	30828
131	4678	30767
132	4710	30706
133	4740	30634
134	4771	30570
135	4801	30504
136	4832	30442
137	4863	30380
138	4897	30337
139	4934	30312
140	4966	30259
141	4999	30209
142	5032	30161
143	5065	30108
144	5095	30047
145	5127	29993
146	5162	29957
147	5196	29912
148	5226	29850
149	5258	29797
150	5287	29729
151	5318	29672
152	5351	29626
153	5384	29581
154	5416	29528
155	5454	29512
156	5486	29456
157	5517	29404
158	5557	29396
159	5590	29348
160	5622	29301
161	5654	29250
162	5686	29201
163	5719	29154
164	5751	29108
165	5784	29059
166	5814	29002
167	5846	28953
168	5878	28905
169	5909	28849
170	5943	28814
171	5981	28792
172	6011	28736
173	6044	28692
174	6076	28645
175	6106	28587
176	6139	28545
177	6170	28497
178	6204	28457
179	6235	28404
180	6265	28348
181	6295	28294
182	6326	28243
183	6356	28188
184	6387	28141
185	6418	28087
186	6451	28050
187	6488	28024
188	6517	27968
189	6548	27918
190	6580	27871
191	6611	27823
192	6640	27767
193	6671	27717
194	6705	27680
195	6735	27629
196	6766	27580
197	6796	27530
198	6828	27484
199	6858	27435
200	6889	27388
201	6919	27335
202	6952	27294
203	6985	27258
204	7023	27237
205	7053	27186
206	7084	27139
207	7113	27086
208	7144	27038
209	7175	26992
210	7208	26955
211	7238	26906
212	7271	26868
213	7304	26830
214	7335	26781
215	7364	26732
216	7395	26686
217	7426	26639
218	7458	26597
219	7488	26551
220	7526	26531
221	7557	26486
222	7589	26442
223	7619	26395
224	7650	26351
225	7680	26302
226	7714	26268
227	7744	26223
228	7774	26176
229	7805	26130
230	7836	26087
231	7867	26045
232	7898	25999
233	7930	25959
234	7962	25919
235	7991	25871
236	8029	25850
237	8069	25836
238	8103	25803
239	8135	25761
240	8168	25725
241	8200	25685
242	8233	25648
243	8266	25611
244	8296	25565
245	8327	25525
246	8356	25476
247	8387	25434
248	8418	25389
249	8449	25347
250	8481	25310
251	8511	25263
252	8548	25238
253	8579	25199
254	8610	25155
255	8643	25118
256	8677	25086
257	8710	25050
258	8746	25022
259	8779	24986
260	8813	24953
261	8845	24914
262	8875	24872
263	8906	24830
264	8937	24789
265	8970	24752
266	9006	24725
267	9038	24688
268	9075	24662
269	9106	24622
270	9137	24578
271	9167	24537
272	9201	24502
273	9232	24462
274	9262	24419
275	9295	24384
276	9324	24339
277	9355	24298
278	9386	24257
279	9416	24214
280	9447	24173
281	9477	24131
282	9508	24089
283	9537	24046
284	9572	24015
285	9609	23990
286	9646	23965
287	9679	23930
288	9711	23891
289	9746	23861
290	9778	23824
291	9808	23783
292	9839	23741
293	9870	23701
294	9901	23663
295	9932	23624
296	9964	23585
297	9995	23545
298	10027	23509
299	10058	23470
300	10094	23442
301	10128	23408
302	10159	23369
303	10189	23328
304	10220	23290
305	10252	23252
306	10284	23216
307	10314	23175
308	10346	23137
309	10378	23099
310	10408	23060
311	10441	23024
312	10472	22984
313	10503	22946
314	10540	22920
315	10572	22885
316	10606	22853
317	10645	22830
318	10678	22795
319	10709	22757
320	10740	22718
321	10771	22681
322	10804	22646
323	10834	22605
324	10866	22569
325	10897	22531
326	10928	22491
327	10958	22451
328	10990	22414
329	11020	22374
330	11052	22339
331	11085	22303
332	11114	22263
333	11154	22242
334	11186	22206
335	11218	22169
336	11250	22133
337	11282	22097
338	11317	22068
339	11348	22028
340	11379	21990
341	11410	21954
342	11442	21916
343	11472	21878
344	11503	21840
345	11535	21803
346	11566	21766
347	11596	21727
348	11627	21689
349	11667	21667
350	11699	21632
351	11730	21594
352	11760	21555
353	11792	21519
354	11824	21484
355	11854	21444
356	11884	21406
357	11916	21369
358	11947	21331
359	11977	21292
360	12009	21258
361	12040	21219
362	12071	21183
363	12102	21146
364	12134	21109
365	12171	21083
366	12204	21050
367	12235	21013
368	12266	20976
369	12296	20936
370	12330	20905
371	12362	20869
372	12394	20834
373	12424	20796
374	12455	20758
375	12486	20722
376	12517	20685
377	12549	20650
378	12581	20615
379	12612	20578
380	12643	20541
381	12679	20512
382	12713	20480
383	12745	20446
384	12775	20408
385	12806	20370
386	12846	20349
387	12889	20330
388	12922	20297
389	12961	20273
390	13009	20263
391	13063	20261
392	13108	20246
393	13160	20241
394	13195	20210
395	13250	20210
396	13291	20188
397	13329	20162
398	13375	20147
399	13423	20134
400	13467	20116
401	13508	20094
402	13546	20068
403	13578	20031
404	13613	20000
405	13652	19974
406	13686	19941
407	13733	19926
408	13765	19891
409	13798	19856
410	13829	19819
411	13862	19783
412	13891	19744
413	13923	19708
414	13956	19673
415	13987	19636
416	14017	19598
417	14054	19568
418	14102	19555
419	14149	19539
420	14191	19517
421	14254	19523
422	14312	19523
423	14358	19506
424	14404	19488
425	14460	19484
426	14525	19491
427	14631	19554
428	14764	19651
429	14875	19719
430	14953	19741
431	15027	19758
432	15096	19768
433	15163	19775
434	15217	19765
435	15267	19749
436	15323	19741
437	15363	19712
438	15403	19683
439	15444	19656
440	15491	19636
441	15533	19609
442	15576	19585
443	15626	19567
444	15677	19552
445	15725	19533
446	15766	19505
447	15820	19492
448	15862	19466
449	15915	19452
450	15964	19433
451	16008	19408
452	16040	19369
453	16072	19329
454	16106	19292
455	16146	19262
456	16190	19237
457	16223	19198
458	16258	19163
459	16297	19132
460	16335	19098
461	16369	19062
462	16401	19023
463	16434	18985
464	16472	18952
465	16508	18917
466	16549	18888
467	16601	18871
468	16645	18846
469	16695	18826
470	16738	18799
471	16783	18774
472	16839	18761
473	16880	18732
474	16930	18713
475	16966	18677
476	17007	18647
477	17043	18612
478	17086	18584
479	17126	18554
480	17177	18534
481	17222	18508
482	17263	18478
483	17310	18454
484	17357	18431
485	17396	18399
486	17444	18375
487	17489	18349
488	17526	18315
489	17568	18285
490	17602	18247
491	17634	18207
492	17663	18165
493	17695	18125
494	17734	18092
495	17787	18074
496	17835	18051
497	17896	18039
498	17941	18013
499	17982	17982
500	18022	17950
501	18071	17927
502	18119	17903
503	18166	17877
504	18209	17849
505	18243	17810
506	18274	17770
507	18305	17729
508	18338	17689
509	18372	17652
510	18405	17612
511	18435	17571
512	18467	17531
513	18497	17489
514	18528	17448
515	18559	17408
516	18589	17367
517	18621	17327
518	18650	17285
519	18681	17244
520	18725	17215
521	18760	17179
522	18793	17140
523	18824	17100
524	18855	17059
525	18890	17023
526	18928	16988
527	18958	16947
528	18990	16908
529	19020	16866
530	19049	16825
531	19082	16787
532	19113	16747
533	19144	16706
534	19173	16664
535	19204	16624
536	19238	16587
537	19270	16548
538	19301	16508
539	19333	16469
540	19364	16429
541	19395	16389
542	19433	16355
543	19464	16316
544	19497	16277
545	19527	16237
546	19560	16198
547	19591	16159
548	19621	16118
549	19653	16080
550	19683	16039
551	19714	16000
552	19746	15961
553	19777	15922
554	19810	15883
555	19845	15848
556	19877	15809
557	19909	15770
558	19955	15743
559	19994	15709
560	20036	15679
561	20084	15652
562	20124	15620
563	20160	15584
564	20205	15556
565	20232	15513
566	20258	15470
